generacja,best_cost,avg_cost,worst_cost
1,2811,3284.664,3747
2,2793,3132.308,3647
3,2690,3012.78,3393
4,2626,2920.028,3367
5,2534,2871.444,3305
6,2518,2820.532,3286
7,2376,2747.324,3202
8,2374,2686.828,3220
9,2242,2581.788,3124
10,2242,2498.692,3055
11,2232,2433.604,2849
12,2184,2401.288,2861
13,2066,2342.28,2932
14,2061,2298.088,2845
15,1999,2252.068,2812
16,1961,2160.384,2592
17,1946,2100.232,2439
18,1919,2085.392,2667
19,1896,2026.784,2470
20,1862,1998.176,2504
21,1813,1978.292,2382
22,1813,1982.624,2524
23,1779,1941.812,2453
24,1779,1889.512,2397
25,1779,1863.548,2326
26,1751,1845.46,2368
27,1751,1831.116,2220
28,1726,1823.348,2237
29,1726,1834.528,2362
30,1726,1807.96,2354
31,1724,1813.268,2311
32,1718,1793.12,2376
33,1711,1783.3,2303
34,1711,1794.892,2461
35,1696,1799.64,2310
36,1675,1788.3,2281
37,1675,1784.56,2289
38,1662,1788.896,2293
39,1662,1777.576,2331
40,1662,1807.808,2501
41,1662,1790.2,2403
42,1659,1757.964,2430
43,1656,1736.908,2336
44,1653,1748.704,2546
45,1649,1744.38,2375
46,1645,1756.844,2352
47,1645,1757.184,2504
48,1643,1747.708,2346
49,1636,1734.996,2332
50,1636,1740.616,2343
51,1632,1730.464,2222
52,1628,1735.06,2344
53,1623,1697.34,2310
54,1615,1712.988,2325
55,1615,1710.444,2215
56,1607,1702.368,2336
57,1607,1695.22,2250
58,1607,1699.848,2231
59,1601,1719.048,2309
60,1600,1723.756,2330
61,1590,1699.156,2295
62,1583,1698.324,2310
63,1583,1687.92,2365
64,1583,1675,2381
65,1583,1683.104,2261
66,1583,1660.476,2258
67,1583,1672.608,2340
68,1583,1684.804,2344
69,1583,1687.784,2352
70,1583,1663.96,2294
71,1583,1673.624,2294
72,1583,1676.064,2351
73,1583,1694.58,2279
74,1580,1712.888,2304
75,1578,1689.1,2366
76,1578,1676.452,2314
77,1578,1652.444,2264
78,1578,1697.452,2327
79,1577,1666.292,2273
80,1572,1680.592,2369
81,1572,1666.332,2312
82,1572,1664.892,2308
83,1572,1677.232,2385
84,1572,1739.836,2337
85,1569,1683.984,2399
86,1568,1657.592,2428
87,1568,1657.412,2368
88,1565,1673.616,2317
89,1565,1685.772,2395
90,1565,1657.576,2413
91,1565,1656.568,2377
92,1565,1668.744,2278
93,1561,1660.496,2409
94,1555,1672.6,2329
95,1555,1708.832,2372
96,1534,1681.568,2265
97,1534,1693.428,2307
98,1534,1722.644,2312
99,1534,1716.056,2347
100,1534,1637.568,2326
101,1534,1647.576,2340
