generacja,best_cost,avg_cost,worst_cost
1,2876,3297.748,3728
2,2719,3155.48,3609
3,2719,3037.76,3442
4,2719,2958.624,3409
5,2623,2899.112,3346
6,2514,2821.512,3248
7,2491,2769.652,3175
8,2411,2721.916,3116
9,2352,2657.56,3090
10,2352,2586.916,3041
11,2275,2547.844,3112
12,2187,2529.336,2997
13,2187,2468.328,3036
14,2187,2410.748,2917
15,2153,2373.712,2941
16,2153,2283.548,2801
17,2117,2227.44,2739
18,2117,2234.328,2751
19,2053,2193.028,2631
20,2041,2168.536,2572
21,2002,2158.836,2525
22,2002,2137.408,2652
23,1986,2097.352,2615
24,1980,2087.792,2688
25,1963,2075.064,2535
26,1959,2079.616,2595
27,1959,2056.412,2616
28,1915,2073.464,2628
29,1915,2084.056,2543
30,1910,2063.528,2539
31,1890,2091.596,2564
32,1890,2063.056,2577
33,1890,2026.096,2549
34,1890,2008.124,2470
35,1886,2005.92,2493
36,1826,1962.696,2415
37,1826,1943.436,2639
38,1823,1956.088,2428
39,1804,1923.596,2459
40,1804,1902.18,2484
41,1799,1910.972,2374
42,1799,1950.152,2401
43,1779,1896.092,2408
44,1759,1882.08,2286
45,1759,1887.328,2286
46,1740,1900.22,2367
47,1740,1896.032,2527
48,1727,1877.224,2477
49,1727,1875.66,2349
50,1714,1871.268,2557
51,1682,1831.016,2275
52,1682,1814.204,2361
53,1668,1810.76,2307
54,1654,1787.84,2316
55,1647,1756.612,2245
56,1647,1772.98,2329
57,1646,1760.08,2348
58,1646,1789.948,2387
59,1632,1790.784,2327
60,1632,1840.112,2492
61,1632,1799.596,2331
62,1630,1736.208,2337
63,1615,1706.116,2354
64,1612,1740.144,2350
65,1606,1725.068,2286
66,1606,1722.108,2319
67,1579,1719.032,2350
68,1579,1718.196,2305
69,1575,1734.056,2424
70,1575,1740.792,2473
71,1559,1785.876,2488
72,1554,1739.48,2405
73,1554,1749.576,2409
74,1536,1736.344,2414
75,1536,1688.088,2339
76,1536,1662.84,2341
77,1536,1648.272,2333
78,1536,1634.44,2334
79,1536,1638.24,2309
80,1534,1641.308,2304
81,1534,1633.276,2291
82,1534,1643.184,2305
83,1534,1626.184,2201
84,1526,1628.952,2289
85,1526,1628.988,2256
