generacja,best_cost,avg_cost,worst_cost
214,1316,1430.784,2085
215,1316,1411.904,2045
216,1316,1441.26,2101
217,1316,1431.24,2089
218,1316,1451.056,2065
219,1316,1441.048,2105
220,1316,1400.612,2094
221,1316,1423.62,2041
222,1316,1401.664,2094
223,1316,1414.124,2041
224,1316,1400.096,2112
225,1316,1407.476,2038
226,1316,1386.528,2038
227,1316,1414.712,2081
228,1316,1398.216,2004
229,1316,1412.444,2079
230,1316,1409.18,2084
231,1316,1398.024,2125
232,1316,1415.512,2069
233,1316,1414.14,2149
234,1316,1388.148,2090
235,1316,1415.924,2149
236,1316,1401.672,2079
237,1316,1424.18,2026
238,1316,1385.728,2099
239,1316,1422.4,2125
240,1316,1405.272,2018
241,1316,1419.736,2026
242,1316,1406.644,2043
243,1316,1418.888,2083
244,1316,1393.548,2129
245,1316,1420.3,2094
246,1316,1412.388,2129
247,1316,1415.708,2048
248,1316,1387.172,2041
249,1316,1414.616,2090
250,1316,1403.848,2013
251,1316,1411.62,2112
252,1316,1406.008,2024
253,1316,1412.324,2129
254,1316,1397.384,2019
255,1316,1421.396,2068
256,1316,1421.98,2011
257,1316,1401.868,2017
258,1316,1390.056,2027
259,1316,1400.832,2048
260,1316,1408.132,2043
261,1316,1395.256,2095
262,1316,1395.684,2090
263,1316,1398.732,2084
264,1316,1403.288,2090
265,1316,1406.884,2090
266,1316,1420.78,2094
267,1316,1393.112,2136
268,1316,1408.172,2067
269,1316,1421.52,2053
270,1316,1420.552,2060
271,1316,1422.072,2026
272,1316,1398.052,2129
273,1316,1394.708,2149
274,1316,1417.292,2090
275,1316,1404.328,2069
276,1316,1399.12,2037
277,1316,1413.24,2149
278,1316,1409.732,2112
279,1316,1402.044,2083
280,1316,1408.908,2149
281,1316,1404.448,2076
282,1316,1414.644,2071
283,1316,1412.232,2149
284,1316,1410.988,2069
285,1316,1412.956,2056
286,1316,1416.22,2112
287,1316,1413.076,2008
288,1316,1408.604,2068
289,1316,1424.752,2046
290,1316,1389.572,2069
291,1316,1417.048,2090
292,1316,1385.044,2008
293,1316,1398.176,2069
294,1316,1405.648,2042
295,1316,1394.464,2013
296,1316,1429.196,2129
297,1316,1413.884,2005
298,1316,1418.872,2129
299,1316,1403.304,2090
300,1316,1401.156,2095
301,1316,1392.148,1996
302,1316,1416.1,2046
303,1316,1402.976,2047
304,1316,1413.856,2071
305,1316,1410.748,2129
306,1316,1411.56,2004
307,1316,1398.296,2013
308,1316,1407.504,2038
309,1316,1407.328,2076
310,1316,1402.08,2050
311,1316,1415.348,2013
312,1316,1402.848,2047
313,1316,1400.504,2048
314,1316,1411.28,2017
315,1316,1405.856,2068
316,1316,1403.092,2035
317,1316,1383.64,1984
318,1316,1392.616,2099
319,1316,1380.684,2047
320,1316,1405.02,2084
321,1316,1416.068,2038
322,1316,1403.272,2041
323,1316,1404.848,2056
324,1316,1408.996,2081
325,1316,1423.088,2083
326,1316,1396.968,1996
327,1316,1394.052,2043
328,1316,1394.672,2094
329,1316,1408.18,2095
330,1316,1411.82,2030
331,1316,1406.584,2030
332,1316,1390.584,2008
333,1316,1406.42,2056
334,1316,1424.704,2060
335,1316,1423.72,2064
336,1316,1422.396,2057
337,1316,1417.688,2041
338,1316,1392.284,2038
339,1316,1415.824,2026
340,1316,1404.412,2044
341,1316,1409.468,2068
342,1316,1411.012,2129
343,1316,1382.652,2090
344,1316,1407.88,2043
345,1316,1395.144,2094
346,1316,1407.248,2094
347,1316,1415.604,2083
348,1316,1408.376,2099
349,1316,1428.884,2090
350,1316,1412.588,2083
351,1316,1388.752,2056
352,1316,1387.312,2027
353,1316,1397.824,2149
354,1316,1420.956,2149
355,1316,1407.452,2018
356,1316,1408.22,2035
357,1316,1428.056,2023
358,1316,1397.888,2068
359,1316,1391.548,2095
360,1316,1397.876,2043
361,1316,1424.6,2060
362,1316,1398.392,2083
363,1316,1394.056,2026
364,1316,1415.164,2090
365,1316,1407.452,2076
366,1316,1414.096,2125
367,1316,1415.568,2071
368,1316,1409.344,2019
369,1316,1400.356,2023
370,1316,1387.22,1987
371,1316,1419.804,2035
372,1316,1410.2,2083
373,1316,1412.128,2094
374,1316,1408.248,2149
375,1316,1407.108,2042
376,1316,1404.308,2081
377,1316,1405.048,2071
378,1316,1394.464,2081
379,1316,1407.672,1975
380,1316,1392.716,2013
381,1316,1412.908,2000
382,1316,1421.028,2076
383,1316,1406.204,2027
384,1316,1409.468,2030
385,1316,1405.32,2095
386,1316,1424.012,2112
387,1316,1407.672,2149
388,1316,1406.952,2071
389,1316,1420.992,2112
390,1316,1427.884,2083
391,1316,1386.568,2038
392,1316,1410.496,2125
393,1316,1418.156,2044
394,1316,1409.576,2083
395,1316,1397.892,2149
396,1316,1404.004,2079
397,1316,1393.444,2090
398,1316,1404.524,2071
399,1316,1402.468,2038
400,1316,1410.416,2079
401,1316,1422.296,2094
402,1316,1416.584,2057
403,1316,1408.616,2090
404,1316,1427.792,2125
405,1316,1399.868,2000
406,1316,1417.424,2044
407,1316,1414.74,2081
408,1316,1397.256,2038
409,1316,1420.36,2112
410,1316,1393.916,1982
411,1316,1408.444,2129
412,1316,1397.764,2083
413,1316,1401.584,2083
414,1316,1415.788,2038
415,1316,1390.688,2003
416,1316,1414.92,2094
417,1316,1401.996,2081
418,1316,1408.096,2112
419,1316,1396.88,2047
420,1316,1417.948,2048
421,1316,1399.136,2035
422,1316,1430.612,2068
423,1316,1426.172,2076
424,1316,1407.688,2041
425,1316,1399.556,2112
426,1316,1409.804,2129
427,1316,1409.06,2090
428,1316,1439.64,2121
429,1316,1417.564,2083
430,1316,1401.292,2069
431,1316,1397.292,2026
432,1316,1407.028,2043
433,1316,1412.68,2050
434,1316,1404.7,2026
435,1316,1410.844,2044
436,1316,1414.132,2125
437,1316,1404.744,2068
438,1316,1432.236,2149
439,1316,1401.368,2005
440,1316,1401.784,2047
441,1316,1399.672,2093
442,1316,1420.184,2071
443,1316,1411.868,2057
444,1316,1390.812,2090
445,1316,1418.132,2071
446,1316,1388.584,2057
447,1316,1411.94,2129
448,1316,1391.152,2083
449,1316,1407.604,2084
450,1316,1404.804,2083
451,1316,1402.704,2112
452,1316,1408.54,2090
453,1316,1408.472,2083
