generacja,best_cost,avg_cost,worst_cost
1,2677,3302.548,3705
2,2653,3134.816,3543
3,2638,3023.952,3548
4,2511,2877.416,3355
5,2411,2712.568,3208
6,2411,2646.34,3236
7,2331,2589.008,3050
8,2305,2532.42,3099
9,2287,2500.04,2893
10,2286,2465.876,3055
11,2226,2412.396,2803
12,2226,2383.308,2931
13,2221,2366.412,2944
14,2129,2312.068,2925
15,2129,2298.408,2841
16,2115,2280.324,2904
17,2115,2252.744,2980
18,2090,2202.416,2810
19,2076,2180.052,2810
20,2066,2196.176,2718
21,2027,2179.38,2767
22,2027,2150.3,2855
23,1986,2127.06,2769
24,1986,2116.668,2778
25,1977,2104.508,2627
26,1977,2138.708,2702
27,1946,2076.824,2795
28,1922,2052.712,2594
29,1922,2047.016,2613
30,1918,2033.636,2639
31,1885,2032.68,2720
32,1885,2005.472,2621
33,1869,2022.1,2755
34,1852,1986.616,2627
35,1839,1955.94,2538
36,1837,1958.76,2455
37,1833,1973.836,2570
38,1822,1936.688,2433
39,1820,1933.34,2679
40,1793,1958.868,2615
41,1793,1912.896,2565
42,1781,1925.68,2553
43,1753,1888.14,2484
44,1753,1909.532,2493
45,1749,1883.056,2557
46,1736,1873.948,2610
47,1736,1849.048,2406
48,1709,1851.044,2398
49,1705,1851.696,2508
50,1705,1848.884,2534
51,1705,1861.372,2607
52,1696,1839.652,2466
53,1667,1815.324,2381
54,1667,1798.524,2406
55,1658,1792.44,2363
56,1658,1768.512,2456
57,1650,1759.228,2323
58,1649,1724.752,2257
59,1649,1739.876,2354
60,1634,1760.688,2357
61,1633,1722.1,2292
62,1626,1737.268,2311
63,1626,1737.396,2443
64,1617,1749.948,2472
65,1610,1707.908,2430
66,1602,1751.956,2546
67,1602,1729.06,2270
68,1588,1733.684,2393
69,1588,1750.372,2411
70,1588,1713.188,2408
71,1587,1735.8,2399
72,1587,1739.76,2537
73,1587,1681.328,2464
74,1587,1675.276,2389
75,1583,1695.412,2211
76,1583,1673.456,2349
77,1583,1681.98,2555
78,1583,1670.924,2425
79,1581,1672.552,2440
80,1581,1670.88,2285
81,1581,1662.444,2397
82,1581,1680.34,2338
83,1580,1664.044,2438
84,1580,1657.328,2288
85,1579,1673.928,2421
86,1579,1672.556,2336
87,1579,1697.132,2375
88,1571,1692.536,2256
89,1571,1665.608,2314
90,1571,1683.952,2255
91,1571,1699.544,2454
92,1571,1680.996,2242
93,1569,1666.74,2277
94,1569,1665.048,2276
95,1569,1659.688,2252
96,1568,1651.428,2297
97,1553,1649.368,2419
98,1552,1666.164,2284
99,1549,1668.908,2319
100,1548,1637.164,2282
101,1548,1648.796,2295
102,1548,1646.488,2312
103,1548,1639.484,2264
104,1547,1632.876,2370
105,1547,1621.584,2264
106,1547,1653.604,2318
107,1547,1649.6,2282
108,1547,1640.204,2302
109,1547,1623.96,2306
110,1547,1643.74,2287
111,1547,1636.064,2374
112,1547,1639.528,2255
113,1545,1635.584,2346
114,1545,1638.216,2241
115,1545,1660.596,2259
116,1545,1666.128,2314
117,1545,1641.14,2356
118,1545,1624.272,2273
119,1545,1634.212,2287
