generacja,best_cost,avg_cost,worst_cost
1,2815,3272.66,3790
2,2744,3085.652,3514
3,2622,2976.26,3479
4,2622,2884.604,3320
5,2432,2823.164,3403
6,2432,2749.888,3168
7,2432,2697.672,3144
8,2403,2660.244,3189
9,2379,2590.14,3113
10,2354,2526.268,3092
11,2343,2534.412,3076
12,2307,2552.488,3162
13,2261,2524.748,3085
14,2249,2493.036,2988
15,2238,2450.052,3040
16,2233,2399.452,3071
17,2180,2368.68,2941
18,2164,2378.936,2920
19,2156,2374.616,2948
20,2128,2345.392,2896
21,2118,2298.08,2904
22,2082,2247.752,2914
23,2054,2231.384,2871
24,2043,2197.744,2773
25,2031,2172.108,2710
26,2030,2139.836,2600
27,1956,2131.192,2556
28,1956,2127.904,2659
29,1904,2098.664,2531
30,1904,2067.576,2540
31,1870,2021.688,2482
32,1859,1976.716,2433
33,1852,1948.548,2410
34,1820,1963.48,2419
35,1813,1930.848,2398
36,1803,1907.216,2345
37,1797,1904.692,2417
38,1797,1900.452,2332
39,1773,1877.12,2353
40,1773,1890.756,2339
41,1757,1873.216,2348
42,1747,1869.92,2406
43,1736,1847.748,2379
44,1736,1844.776,2305
45,1692,1833.972,2379
46,1687,1807.444,2314
47,1676,1792.512,2435
48,1676,1776.66,2233
49,1676,1784.436,2306
50,1676,1758.612,2312
51,1666,1738.848,2262
52,1666,1765.124,2230
53,1659,1745.964,2350
54,1659,1752.332,2354
55,1659,1741.564,2273
56,1657,1748.976,2294
57,1657,1737.68,2284
58,1652,1736.024,2374
59,1652,1724.12,2201
60,1649,1747.52,2258
61,1605,1739.368,2325
62,1574,1732.172,2304
63,1574,1728.852,2270
64,1547,1710.064,2371
65,1547,1676.768,2252
66,1545,1650.42,2216
67,1543,1629.24,2176
68,1542,1631.304,2141
69,1534,1638.86,2265
70,1534,1638.272,2227
71,1534,1666.46,2214
72,1534,1679.644,2253
73,1510,1707.376,2222
74,1510,1637.82,2210
75,1510,1635.14,2232
76,1510,1688.54,2330
77,1497,1656.96,2340
78,1497,1632.228,2371
79,1497,1653.664,2239
80,1497,1679.22,2364
81,1495,1637.992,2273
82,1495,1585.876,2268
83,1492,1632.112,2377
84,1491,1676.704,2251
85,1490,1669.972,2388
86,1490,1662.344,2257
87,1487,1636.332,2303
88,1487,1616.716,2289
89,1485,1603.572,2390
90,1484,1600.756,2317
91,1474,1578.984,2351
92,1474,1586.1,2268
93,1451,1603.94,2326
94,1451,1580.068,2220
95,1451,1578.136,2328
96,1451,1578.26,2302
97,1451,1543.756,2235
98,1451,1566.192,2249
99,1435,1535.068,2200
100,1435,1573.688,2217
101,1435,1557.408,2278
102,1434,1563.412,2210
103,1434,1562.112,2254
104,1434,1527.964,2206
105,1434,1535.4,2220
106,1434,1529.776,2305
107,1434,1520.86,2309
108,1427,1532.192,2285
109,1427,1534.72,2272
110,1427,1553.792,2294
111,1423,1575.536,2236
112,1414,1538.752,2223
113,1414,1522.344,2182
114,1408,1501.612,2168
115,1407,1509.16,2236
116,1405,1510.896,2224
117,1402,1487.644,2145
118,1401,1516.928,2224
119,1400,1482.712,2177
120,1400,1506.904,2226
121,1396,1497.44,2226
122,1396,1489.1,2160
123,1396,1463.724,2130
124,1395,1491.168,2241
125,1392,1485.676,2192
126,1391,1480.976,2198
127,1383,1485.568,2251
128,1377,1474.328,2271
129,1376,1497,2243
130,1372,1470.656,2162
131,1372,1471.24,2221
132,1372,1474.832,2182
133,1372,1463.944,2215
134,1366,1460.176,2168
135,1366,1447.752,2005
136,1366,1457.688,2168
137,1366,1453.488,2208
138,1366,1456.176,2155
139,1366,1440.876,2091
140,1365,1450.42,2104
141,1365,1448.52,2162
142,1364,1450.508,2130
143,1363,1447.604,2220
144,1363,1450.536,2026
145,1357,1440.784,2171
146,1357,1465.044,2220
147,1357,1481.972,2146
148,1357,1466.892,2220
149,1357,1475.704,2178
150,1357,1456.492,2215
151,1352,1464.472,2165
152,1352,1462.616,2331
153,1352,1444.996,2098
154,1352,1433.452,2128
155,1352,1450.98,2152
156,1352,1431.112,1997
157,1352,1439.872,2101
158,1352,1441.064,2157
159,1352,1457.676,2192
160,1352,1441.832,2149
161,1352,1447.684,2121
162,1352,1425.608,2210
163,1352,1443.78,2195
164,1352,1429.86,2204
165,1352,1440.756,2157
166,1352,1468.896,2185
167,1352,1431.676,2185
168,1352,1427.612,2192
169,1352,1455.252,2148
170,1352,1463.512,2185
171,1352,1451.696,2176
172,1352,1447.828,2149
173,1352,1448.548,2176
174,1352,1441.396,2173
175,1352,1447.96,2138
176,1352,1445.088,2165
177,1352,1449.112,2176
178,1352,1452.068,2192
179,1352,1428.772,2128
180,1352,1423.188,2090
